SYMBOL,Industry,Sector,fiftyTwoWeekHigh,marketCap,dividend Rate,trailing PE,forward PE,priceToSales,Profit Margins,Operating Margins,Revenue Growth,Earnings Growth,ROA,ROE,Volume,DebtToEquity
JUBLFOOD,Restaurants,Consumer Cyclical,715.45,398981922816,1.2,90.03846,20.084078,6.3810463,0.068169996,0.10321999,0.448,0.927,,,3319739,187.535
JSWINFRA,Marine Shipping,Industrials,360.95,605073375232,0.55,51.577984,,15.503412,0.28888,0.37638,0.147,-0.191,,,3382871,57.812
PAYTM,Software - Infrastructure,Technology,952.65,474365788160,,,-89.909424,5.729955,-0.082150005,-0.35064998,-0.341,,-0.07802,-0.049569998,18736065,1.144
SBICARD,Credit Services,Financial Services,817.4,671382765568,2.5,27.243895,18.597364,6.1249228,0.21977,0.3208,-0.05,0.002,,,4471620,333.62
MAZDOCK,Aerospace & Defense,Industrials,5860.0,846059339776,35.3,35.33664,32.222576,8.766691,0.24025999,0.26257,0.085,1.214,,,1995421,0.015
IGL,Utilities - Regulated Gas,Utilities,570.35,303030403072,9.0,14.881251,12.80737,2.1470764,0.13776,0.13233,0.033,-0.079,,,1806547,0.841
EXIDEIND,Auto Parts,Consumer Cyclical,620.35,399117516800,2.0,43.8499,,2.3532927,0.05156,0.074260004,0.045,-0.011,,,4267397,9.119
COCHINSHIP,Aerospace & Defense,Industrials,2979.45,368879173632,11.25,41.84493,38.701817,8.940216,0.20815,0.20535,0.621,0.765,,,744138,10.037
IDFCFIRSTB,Banks - Regional,Financial Services,92.45,487116931072,,16.212872,,2.359377,0.13821,0.16163,0.138,-0.174,,0.09613,64219751,
SJVN,Utilities - Renewable,Utilities,170.5,439587307520,1.8,41.90625,20.12758,15.841269,0.35921,0.61652,0.29,0.23,,,6871910,144.435
KALYANKJIL,Luxury Goods,Consumer Cyclical,786.25,716038930432,1.2,109.93453,,3.6332357,0.03203,0.0543,0.265,0.229,,,4954148,107.13
TATACHEM,Chemicals,Basic Materials,1349.0,286409228288,15.0,,21.579853,1.9102863,-0.02321,0.08527,,-0.547,0.020399999,-0.00802,1915790,28.034
COLPAL,Household & Personal Products,Consumer Defensive,3890.0,906826416128,48.0,92.58636,49.825413,15.110025,0.24476999,0.2814,0.101,0.162,0.36231998,0.86004996,1485823,4.238
IREDA,Credit Services,Financial Services,310.0,538358611968,,35.616386,28.7609,25.362738,0.68044996,0.86917,0.413,0.152,0.02407,0.18149,8482715,586.184
ABCAPITAL,Financial Conglomerates,Financial Services,246.9,549677105152,,15.383625,28.659605,2.0519803,0.12861,0.15865,0.234,0.086,,,7652607,384.935
INDUSTOWER,Telecom Services,Communication Services,460.35,942254129152,,11.932264,15.862559,3.2224283,0.25796,0.44566002,0.047,0.729,0.12465999,0.28957,14089598,75.207
GMRINFRA,Airports & Air Services,Industrials,103.75,867950067712,,,,9.068457,-0.08991,0.15737,0.209,,0.02073,,26994765,
SONACOMS,Auto Parts,Consumer Cyclical,768.65,434412552192,3.06,72.46114,,12.485688,0.16305,0.2054,0.171,0.147,0.09466,0.144,2648178,3.744
SAIL,Steel,Basic Materials,175.35,488021524480,2.0,15.679325,9.736245,0.464707,0.02796,0.03407,-0.015,-0.608,,,30780202,63.611
RVNL,Engineering & Construction,Industrials,647.0,923143503872,2.11,60.22238,,4.5271087,0.07137,0.04287,-0.269,-0.352,,,5289252,68.976
OIL,Oil & Gas Integrated,Energy,767.9,821032583168,14.17,11.890005,9.925358,2.3882487,0.19763,0.31877002,0.308,0.321,,,3415563,45.682
HUDCO,Credit Services,Financial Services,353.7,401221746688,4.15,17.413824,12.192961,12.292597,0.68285006,0.91028,0.1,0.251,,,5584574,445.421
FACT,Agricultural Inputs,Basic Materials,1187.0,550237700096,0.97,1979.375,,12.443356,0.0058099995,-0.10326,-0.514,,,,155043,131.582
HINDZINC,Other Industrial Metals & Mining,Basic Materials,807.7,2211745103872,35.0,24.687801,,7.2642465,0.28699,0.40555,0.209,0.347,0.21858,0.82142997,3655319,191.929
IDEA,Telecom Services,Communication Services,19.18,575023153152,,,-1.845783,1.3553716,-0.70313,-0.110810004,-0.01,,,,600920949,
BSE,Financial Data & Stock Exchanges,Financial Services,4989.8,578860613632,15.0,92.58774,48.708187,28.892036,0.29986,0.48706,1.583,-0.401,,,2378498,
BANDHANBNK,Banks - Regional,Financial Services,263.1,293598789632,1.5,12.153902,5.2697372,2.9014971,0.27555,0.42525002,0.251,0.302,0.01679,0.12529,21104143,
MRPL,Oil & Gas Refining & Marketing,Energy,289.25,271653208064,3.0,28.015472,8.815581,0.27660263,0.00923,-0.03269,0.298,,0.045440003,0.074829996,2634196,109.967
AUBANK,Banks - Regional,Financial Services,813.4,484414259200,1.0,23.696589,28.500708,6.2407537,0.23444,0.33883998,0.435,0.279,0.0155,0.1309,6949269,
DIXON,Consumer Electronics,Technology,15900.0,913650352128,5.0,113.63392,88.08191,3.3115153,0.02592,0.031240001,1.333,2.592,0.04616,0.36816,4173165,30.83
HINDPETRO,Oil & Gas Refining & Marketing,Energy,457.15,846554595328,21.0,18.865248,6.823012,0.1933528,0.00959,0.011849999,0.043,-0.976,0.02021,0.09233,8519638,158.069
